date,home_team,away_team,home_goals,away_goals
2024-08-31,Sporting Clube de Portugal,FC Porto,2,0
2024-09-01,CD Nacional,SC Farense,2,0
2024-09-01,Rio Ave FC,FC Arouca,1,0
2024-09-01,Gil Vicente FC,Sporting Clube de Braga,0,0
2024-09-01,Vitória SC,FC Famalicão,2,1
2024-09-13,FC Arouca,Sporting Clube de Portugal,0,3
2024-09-14,Casa Pia AC,Moreirense FC,3,1
2024-09-14,AVS,Rio Ave FC,1,0
2024-09-14,Sport Lisboa e Benfica,CD Santa Clara,4,1
2024-09-14,FC Famalicão,Gil Vicente FC,1,1
2024-09-15,FC Porto,SC Farense,2,1
2024-09-15,GD Estoril Praia,CD Nacional,1,0
2024-09-15,Sporting Clube de Braga,Vitória SC,0,2
2024-09-16,CF Estrela da Amadora,Boavista FC,2,2
2024-09-20,CD Nacional,Sporting Clube de Braga,0,3
2024-09-21,CD Santa Clara,CF Estrela da Amadora,1,0
2024-09-21,Rio Ave FC,GD Estoril Praia,2,2
2024-09-21,Vitória SC,FC Porto,0,3
2024-09-21,Moreirense FC,FC Famalicão,0,0
2024-09-22,Gil Vicente FC,Casa Pia AC,1,1
2024-09-22,SC Farense,FC Arouca,0,1
2024-09-22,Sporting Clube de Portugal,AVS,3,0
2024-09-23,Boavista FC,Sport Lisboa e Benfica,0,3
2024-09-27,GD Estoril Praia,Sporting Clube de Portugal,0,3
2024-09-28,CF Estrela da Amadora,Moreirense FC,2,1
2024-09-28,Casa Pia AC,Vitória SC,1,1
2024-09-28,Sport Lisboa e Benfica,Gil Vicente FC,5,1
2024-09-29,FC Famalicão,CD Nacional,0,0
2024-09-29,FC Porto,FC Arouca,4,0
2024-09-29,Sporting Clube de Braga,Rio Ave FC,4,0
2024-09-29,CD Santa Clara,Boavista FC,1,0
2024-09-30,AVS,SC Farense,0,0
2024-10-04,Rio Ave FC,FC Famalicão,1,1
2024-10-05,Moreirense FC,CD Santa Clara,1,0
2024-10-05,Gil Vicente FC,CF Estrela da Amadora,3,0
2024-10-05,FC Arouca,AVS,1,1
2024-10-05,Sporting Clube de Portugal,Casa Pia AC,2,0
2024-10-06,Vitória SC,Boavista FC,2,2
2024-10-06,SC Farense,GD Estoril Praia,1,0
